MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902219963,1,902219963-1,United Kingdom,390,,PASS,,,A,Asc 10-1,16A,624100316,50,MRS.VY,CFA,"Wobbling(1),Dirty Collar Lining(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902151597,1,902151597-1,Chile,420,,PASS,,,A,Asc 10-2,42A,625100252,50,MS.NGÂN,CFA,Dirty Collar Lining(2),,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902155149,1,902155149-1,Peru,"1,239",,PASS,,,A,Asc 05-1,23A,624110228,125,MS.HUỲNH,CFA,"Wobbling(2),Dirty O'S(2),Bonding Gap(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902163747,1,902163747-1,Morocco,664,,PASS,,,A,Asc 05-1,23A,624110228,80,MR.NHỨT,CFA,"Dirty Collar Lining(1),Bonding Gap(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902173244,1,902173244-1,Turkey,738,,PASS,,,A,Asc 08-1,41A,625080141,80,MS.HUỲNH,CFA,"Poor Attaching(1),Dirty Upper(2),Dirty O'S(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF I,902235301,1,902235301-1,Italy,640,,PASS,,,A,Asc 10-1,16A,624100316,80,MRS.VY,CFA,"Bonding Gap(1),Dirty Collar Lining(1),Wobbling(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902165921,1,902165921-1,Mexico,"2,350",,PASS,,,A,Asc 04-2,40A,625060019,125,MR.NHỨT,CFA,"Dirty Collar Lining(3),Dirty Upper(2)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902175141,1,902175141-1,Turkey,"6,861",,PASS,3200,P1,A,Asc 07-2,12A,622021407,125,MS.NGÂN,CFA,"Dirty Collar Lining(2),Dirty Upper(2),Bonding Gap(1),Poor Attaching(3)",,,,,
2,2/2/2026,VL COURT 3.0 K,902072530,1,902072530-1,Netherlands,"7,123",,PASS,3200,P1,A,Asc 05-2,44A,625110020,125,MR.THÁI,CFA,"Wobbling(2),Bonding Gap(2),Dirty O'S(2)",,,,,
2,2/2/2026,LIGHTSHIFT 2.0,902158086,1,902158086-1,Mexico,"1,383",,PASS,,,A,Asc 01-2,31A,624060331,125,MR.NHỨT,CFA,"Over Cement(2),Dirty M'S(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902131769,1,902131769-1,United Kingdom,400,,PASS,,,B,Asc 01-1,27A,621030280,50,MRS.VY,CFA,Dirty Collar Lining(2),,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902131772,1,902131772-1,United Kingdom,480,,PASS,,,B,Asc 03-2,84L,622030320,50,MRS.VY,CFA,Wobbling(2),,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902219921,1,902219921-1,United Kingdom,480,,PASS,,,B,Asc 06-2,26B,623090198,50,MR.THÁI,CFA,Dirty Upper(2),,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902219956,1,902219956-1,Netherlands,307,,PASS,,,B,Asc 03-2,84L,622030320,50,MRS.VY,CFA,"Bonding Gap(1),Over Primer O'S(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902162264,1,902162264-1,Morocco,"1,597",,PASS,,,B,Asc 01-2,42B,625030063,125,MRS.VY,CFA,"Dirty Collar Lining(2),Dirty Upper(1),Bonding Gap(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 CF K,902165286,1,902165286-1,Mexico,100,,PASS,,,B,Asc 06-2,26B,623090198,20,MR.NHỨT,CFA,Left/Right Component Mismatch(1),,,,,
2,2/2/2026,GALAXY 7 M,901967114,1,901967114-1,United Kingdom,160,,PASS,,,C,Asc 11-2,28D,625080255,32,MRS.VY,CFA,Wobbling(1),,,,,
2,2/2/2026,GALAXY 7 M,902046338,1,902046338-1,Netherlands,400,,PASS,,,C,Asc 07-2,29D,624040410,50,MR.THÁI,CFA,"Over Cement(1),Dirty Collar Lining(1),Dirty O'S(1)",,,,,
2,2/2/2026,GALAXY 7 W,902053888,1,902053888-1,Italy,"3,907",,PASS,3200,P1,C,Asc 07-2,29D,624040410,125,MRS.VY,CFA,"Collar Lining Wrinkle(1),Over Primer O'S(2),Dirty M'S(2)",,,,,
2,2/2/2026,GALAXY 7 W,901806577,1,901806577-1,Netherlands,386,,PASS,,,C,Asc 11-1,11,623120136,50,MRS.VY,CFA,"Wobbling(1),Dirty O'S(1)",,,,,
2,2/2/2026,RUNFALCON 6 J,901957589,1,901957589-1,USA,504,,PASS,,,C,Asc 05-2,10D,624040283,80,MRS.VY,CFA,"Dirty Collar Lining(1),Collar Lining Damaged(1),Over Cement(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902131765,1,902131765-1,Panama,"1,386",,PASS,,,C,Asc 01-1,11D,624080127,125,MR.THÁI,CFA,"Collar Lining Wrinkle(2),Thread Ends(3)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902163225,1,902163225-1,Brazil,426,,PASS,,,C,Asc 01-2,31D,624040282,50,MRS.VY,CFA,"Dirty Collar Lining(1),Dirty O'S(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902164692,1,902164692-1,Morocco,636,,PASS,,,C,Asc 05-2,10D,624040283,80,MRS.VY,CFA,"Dirty Collar Lining(1),Dirty Upper(1)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902174395,1,902174395-1,Netherlands,"1,077",,PASS,,,C,Asc 01-2,31D,624040282,80,MRS.VY,CFA,"Thread Ends(2),Over Cement(2)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902174644,1,902174644-1,United Kingdom,304,,PASS,,,C,Asc 06-1,16,621070084,50,MS.NGÂN,CFA,Collar Lining Wrinkle(2),,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902219895,1,902219895-1,Peru,"1,026",,PASS,,,C,Asc 01-1,11D,624080127,80,MR.THÁI,CFA,"Dirty Upper(2),Thread Ends(2)",,,,,
2,2/2/2026,TENSAUR SPORT 3.0 K,902219972,1,902219972-1,United Kingdom,660,,PASS,,,C,Asc 07-1,25D,622070156,80,MR.THÁI,CFA,"Over Cement O'S(2),Wobbling(2)",,,,,
2,2/2/2026,VS PACE 2.0,902170287,1,902170287-1,Netherlands,420,,PASS,,,D,Asc 06-2,10C,624050200,50,MS.NGÂN,CFA,"Bonding Gap(2),Dirty O'S(1)",,,,,
2,2/2/2026,URBAN COURT,902146589,1,902146589-1,Mexico,"4,500",,PASS,3200,P1,D,Asc 03-2,34C,625020591,125,MR.NHỨT,CFA,"Over Cement(3),Dirty Upper(2)",,,,,
2,2/2/2026,URBAN COURT,902146589,1,902146589-1,Mexico,"4,500",,PASS,1300,PC,D,Asc 08-2,17C,624030608,125,MR.NHỨT,CFA,"Over Cement(3),Dirty Collar Lining(1)",,,,,
2,2/2/2026,VL COURT 3.0 K,902059528,1,902059528-1,Utd.Arab Emir.,552,,PASS,,,D,Asc 04-2,12C,624080082,80,MR.THÁI,CFA,"Off Center(2),Over Cement(2)",,,,,
2,2/2/2026,VS PACE 2.0,902069925,1,902069925-1,Netherlands,596,,PASS,,,D,Asc 11-1,38C,625090293,80,MR.THÁI,CFA,Dirty Upper(2),,,,,
2,2/2/2026,VS PACE 2.0,902163484,1,902163484-1,Netherlands,470,,PASS,,,D,Asc 07-1,41C,625100189,50,MR.THÁI,CFA,Over Cement(2),,,,,
2,2/2/2026,VS PACE 2.0,902167267,1,902167267-1,Netherlands,590,,PASS,,,D,Asc 11-1,38C,625090293,80,MR.THÁI,CFA,Wrinkle(3),,,,,
2,2/2/2026,VS PACE 2.0,902168844,1,902168844-1,United Kingdom,"5,580",,PASS,2380,PC,D,Asc 10-2,28C,624100065,125,MR.THÁI,CFA,"Dirty O'S(3),Wrinkle(3)",,,,,
2,2/2/2026,VS PACE 2.0,902181488,1,902181488-1,Netherlands,610,,PASS,,,D,Asc 07-1,41C,625100189,80,MS.HUỲNH,CFA,Dirty O'S(2),,,,,
2,2/2/2026,VS PACE 2.0,902183048,1,902183048-1,Netherlands,320,,PASS,,,D,Asc 10-2,28C,624100065,50,MS.HUỲNH,CFA,Fraying(1),,,,,
2,2/2/2026,VS PACE 2.0,902228342,1,902228342-1,Spain,330,,PASS,,,D,Asc 11-1,38C,625090293,50,MS.HUỲNH,CFA,Dirty Upper(2),,,,,
2,2/2/2026,VL COURT 3.0 K,901585855,1,901585855-1,China,"2,956",11A,PASS,,ALL,B3,7,11A,622021048,30,MR.MOON,MANAGER,No issue,OFFICIAL,,,,
2,2/2/2026,VL COURT 3.0 K,901585720,1,901585720-1,China,500,R4A,PASS,,ALL,B3,7,R4A,620080362,30,MR.MOON,MANAGER,No issue,OFFICIAL,,,,
