MONTH,DATE,MODEL,PO NO 1.,Item,PO NO 2.,DEST,QTY,REPACKING ,RESULT,PARTIAL Q'TY,"PARTIAL
NO",BUILDING,LINE,TQC NUM,EMPLOYEE NO,QTY INSPECTION,OFFICIAL INSPECTOR,INSPECTOR TYPE,DESCRIPTION,REMARKS,INTERNAL INSPECTOR,Stitching issue,Wrong Packing issue(prs),NOTE
1,1/2/2026,VL COURT 3.0 K,901797729,1,901797729-1,USA,"5,000",,PASS,3200,P1,A,Asc 03-2,8A,624020086,125,MR.THÁI,CFA,"Dirty Collar Lining(2),Dirty Upper(2),Over Cement(2)",,,,,
1,1/2/2026,VL COURT 3.0 K,901710695,1,901710695-1,USA,"4,800",,PASS,3200,P1,A,Asc 04-2,40A,625060019,125,MR.NHỨT,CFA,"Thread Ends(2),Off Center(2),Dirty Upper(1)",,,,,
1,1/2/2026,VL COURT 3.0 K,901868557,1,901868557-1,Netherlands,530,,PASS,,,A,Asc 04-1,18A,623100210,80,MS.HUỲNH,CFA,"Dirty Upper(2),Bonding Gap(1),Over Primer O'S(2)",,,,,
1,1/2/2026,ASPYRE,901985727,1,901985727-1,Spain,549,,PASS,,,A,Asc 11-2,22A,624060318,80,MR.THÁI,CFA,Dirty Upper(3),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901727598,1,901727598-1,Italy,825,,PASS,,,A,Asc 08-2,14A,622030023,80,MS.NGÂN,CFA,"Dirty Upper(2),Dirty Collar Lining(2)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901907242,1,901907242-1,Netherlands,"1,463",,PASS,,,A,Asc 05-1,23A,624110228,125,MS.NGÂN,CFA,"Dirty Collar Lining(3)Dirty Upper(2),Left/Right Quarter Mismatch(1)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901987227,1,901987227-1,Netherlands,302,,PASS,,,A,Asc 10-1,16A,624100316,50,MR.THÁI,CFA,"Dirty Upper(1),Wobbling(1)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901777956,1,901777956-1,United Kingdom,369,,PASS,,,A,Asc 11-1,9A,622080458,50,MS.NGÂN,CFA,Over Primer O'S(2),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901846318,1,901846318-1,Brazil,500,,PASS,,,A,Asc 10-1,16A,624100316,50,MS.NGÂN,CFA,"Dirty Collar Lining(1),Bonding Gap(1),Dirty M'S(1)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 CF I,901988135,1,901988135-1,Italy,490,,PASS,,,A,Asc 10-1,16A,624100316,50,MR.THÁI,CFA,Dirty Collar Lining(2),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901842999,1,901842999-1,Mexico,846,,PASS,,,A,Asc 07-2,12A,622021407,80,MS.HUỲNH,CFA,Over Primer O'S(3),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901849536,1,901849536-1,Argentina,192,,PASS,,,A,Asc 05-1,23A,624110228,32,MR.THÁI,CFA,Off Center(1),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901883440,1,901883440-1,United Kingdom,505,,PASS,,,A,Asc 05-1,23A,624110228,80,MS.NGÂN,CFA,"Dirty O'S(2),Thread Ends(2)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901907999,1,901907999-1,Netherlands,313,,PASS,,,A,Asc 08-2,45A,625110021,50,MRS.VY,CFA,"Poor Shape(1),Over Cement(1)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901909700,1,901909700-1,Netherlands,"1,065",,PASS,,,A,Asc 09-2,43A,625100258,80,MR.THÁI,CFA,"Dirty Collar Lining(2),Over Cement(2)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,901994233,1,901994233-1,Italy,375,,PASS,,,A,Asc 09-2,43A,625100258,50,MS.HUỲNH,CFA,"Poor Attaching(1),Dirty O'S(1)",,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,902026505,1,902026505-1,Monaco,300,,PASS,,,A,Asc 07-1,20A,623110220,50,MS.HUỲNH,CFA,Dirty Upper(2),,,,,
1,1/2/2026,TENSAUR SPORT 3.0 K,902026510,1,902026510-1,Monaco,300,,PASS,,,A,Asc 07-1,20A,623110220,50,MS.NGÂN,CFA,"Dirty Upper(1),Bonding Gap(1)",,,,,
1,1/2/2026,LIGHTSHIFT 2.0,901161209,1,901161209-1,Utd.Arab Emir.,153,12,PASS,,,B3,2,12,625030164,32,MS.HUỲNH,CFA,Over Cement(1),,,,,
1,1/2/2026,LIGHTSHIFT 2.0,901493690,1,901493690-1,Netherlands,371,,PASS,,,A,Asc 01-2,4A,624060316,50,MS.NGÂN,CFA,"Dirty O'S(1),Off Center(1)",,,,,
1,1/2/2026,LIGHTSHIFT 2.0,901905338,1,901905338-1,Peru,108,15D,PASS,,,B3,3,15D,622020913,20,MR.NHỨT,CFA,No issue,,,,,
